# x,phi(x) after t=1.0 with limiter=minmod
0.000000000000000000e+00,2.209952069052149359e-21
5.000000000000000104e-03,6.493025169409871240e-21
1.000000000000000021e-02,2.304906385846382352e-20
1.499999999999999944e-02,8.235362343550387665e-20
2.000000000000000042e-02,2.916799509811029286e-19
2.500000000000000139e-02,1.023020778266181757e-18
2.999999999999999889e-02,3.553402345082300811e-18
3.500000000000000333e-02,1.222517744844350526e-17
4.000000000000000083e-02,4.166725880706650744e-17
4.499999999999999833e-02,1.407178642814711343e-16
5.000000000000000278e-02,4.709897937882437055e-16
5.500000000000000028e-02,1.562728318257413519e-15
5.999999999999999778e-02,5.141333963288707808e-15
6.500000000000000222e-02,1.677677186976967265e-14
7.000000000000000666e-02,5.431386996578841675e-14
7.499999999999999722e-02,1.745107475535803040e-13
8.000000000000000167e-02,5.566623167049652677e-13
8.500000000000000611e-02,1.763511960483233043e-12
8.999999999999999667e-02,5.550725604205857988e-12
9.500000000000000111e-02,1.736528420170313146e-11
1.000000000000000056e-01,5.402038398128423082e-11
1.049999999999999961e-01,1.671724431965572657e-10
1.100000000000000006e-01,5.148638356802039982e-10
1.150000000000000050e-01,1.578802737770565827e-09
1.199999999999999956e-01,4.822258568725087503e-09
1.250000000000000000e-01,1.467659337077100140e-08
1.300000000000000044e-01,4.452417316521124295e-08
1.350000000000000089e-01,1.346725065748135903e-07
1.400000000000000133e-01,4.062207030129594482e-07
1.449999999999999900e-01,1.222103314411979113e-06
1.499999999999999944e-01,3.667472385386394963e-06
1.549999999999999989e-01,1.097986032254650096e-05
1.600000000000000033e-01,3.280103692727845497e-05
1.650000000000000078e-01,9.780973335165866729e-05
1.700000000000000122e-01,2.912638290313882363e-04
1.750000000000000167e-01,8.666891797021573658e-04
1.799999999999999933e-01,2.578693749527338590e-03
1.849999999999999978e-01,7.676813877144518690e-03
1.900000000000000022e-01,2.287531297706062519e-02
1.950000000000000067e-01,6.828667550201117376e-02
2.000000000000000111e-01,2.036329311296746214e-01
2.050000000000000155e-01,5.798876839473805500e-01
2.099999999999999922e-01,8.859062165341582418e-01
2.149999999999999967e-01,9.695513854880364324e-01
2.200000000000000011e-01,9.918680202822851566e-01
2.250000000000000056e-01,9.978249895862288943e-01
2.300000000000000100e-01,9.994179167494002813e-01
2.350000000000000144e-01,9.998441213355623303e-01
2.399999999999999911e-01,9.999582419059488414e-01
2.449999999999999956e-01,9.999888131398939617e-01
2.500000000000000000e-01,9.999970040277279537e-01
2.550000000000000044e-01,9.999991981895490767e-01
2.600000000000000089e-01,9.999997856410960395e-01
2.650000000000000133e-01,9.999999427724790557e-01
2.700000000000000178e-01,9.999999847318115087e-01
2.750000000000000222e-01,9.999999958962060287e-01
2.800000000000000266e-01,9.999999988391848893e-01
2.850000000000000311e-01,9.999999995943198439e-01
2.899999999999999800e-01,9.999999997733015622e-01
2.949999999999999845e-01,9.999999998061034345e-01
2.999999999999999889e-01,9.999999998076306573e-01
3.049999999999999933e-01,9.999999997922892625e-01
3.099999999999999978e-01,9.999999997098922844e-01
3.150000000000000022e-01,9.999999994027536365e-01
3.200000000000000067e-01,9.999999983949858784e-01
3.250000000000000111e-01,9.999999952480659315e-01
3.300000000000000155e-01,9.999999856273066312e-01
3.350000000000000200e-01,9.999999564986175038e-01
3.400000000000000244e-01,9.999998687499409566e-01
3.450000000000000289e-01,9.999996052075917907e-01
3.500000000000000333e-01,9.999988152554917242e-01
3.549999999999999822e-01,9.999964505497027645e-01
3.599999999999999867e-01,9.999893776934496437e-01
3.649999999999999911e-01,9.999682317475292459e-01
3.699999999999999956e-01,9.999050181026970519e-01
3.750000000000000000e-01,9.997160248561111073e-01
3.800000000000000044e-01,9.991508288531466553e-01
3.850000000000000089e-01,9.974600069905753541e-01
3.900000000000000133e-01,9.923998165360805590e-01
3.950000000000000178e-01,9.772535994448968699e-01
4.000000000000000222e-01,9.318685368136390146e-01
4.050000000000000266e-01,7.963810906259831679e-01
4.100000000000000311e-01,4.196149703298096001e-01
4.150000000000000355e-01,1.138054352417852688e-01
