# x,phi(x) after t=1.0 with limiter=superbee
0.000000000000000000e+00,2.292271914437825248e-33
5.000000000000000104e-03,2.975618514359908411e-33
1.000000000000000021e-02,3.831484510208202110e-33
1.499999999999999944e-02,4.894179151326632306e-33
2.000000000000000042e-02,6.202421533923314117e-33
2.500000000000000139e-02,7.799356109278067338e-33
2.999999999999999889e-02,9.732456865987979473e-33
3.500000000000000333e-02,1.205335669770244746e-32
4.000000000000000083e-02,1.481772310685913531e-32
4.499999999999999833e-02,1.808543865869130023e-32
5.000000000000000278e-02,2.192148153591721621e-32
5.500000000000000028e-02,2.639784871754396182e-32
5.999999999999999778e-02,3.159625879234349825e-32
6.500000000000000222e-02,3.761034176548247011e-32
7.000000000000000666e-02,4.454647135706289095e-32
7.499999999999999722e-02,5.252901021742541724e-32
8.000000000000000167e-02,6.171824039207815827e-32
8.500000000000000611e-02,7.236011788805656318e-32
8.999999999999999667e-02,8.473928632613604036e-32
9.500000000000000111e-02,9.943442352959227447e-32
1.000000000000000056e-01,1.155319072529319177e-31
1.049999999999999961e-01,1.387767398965684414e-31
1.100000000000000006e-01,9.412208495486854786e-31
1.150000000000000050e-01,3.265930029646651427e-29
1.199999999999999956e-01,1.277014508103015121e-27
1.250000000000000000e-01,5.013232946387713092e-26
1.300000000000000044e-01,1.969419081561901939e-24
1.350000000000000089e-01,7.737425198946926113e-23
1.400000000000000133e-01,3.041049606783947470e-21
1.449999999999999900e-01,1.194670639047030944e-19
1.499999999999999944e-01,4.697555335700682625e-18
1.549999999999999989e-01,1.844161051940399213e-16
1.600000000000000033e-01,7.260589239550218383e-15
1.650000000000000078e-01,2.843975092027678153e-13
1.700000000000000122e-01,1.124168808752038915e-11
1.750000000000000167e-01,4.372097064920374336e-10
1.799999999999999933e-01,1.750175998817903955e-08
1.849999999999999978e-01,6.653827345800319209e-07
1.900000000000000022e-01,2.771754833194155785e-05
1.950000000000000067e-01,9.794050671124972327e-04
2.000000000000000111e-01,4.618036085863796297e-02
2.050000000000000155e-01,6.612530439545477590e-01
2.099999999999999922e-01,9.999999996878204955e-01
2.149999999999999967e-01,1.000000000000000000e+00
2.200000000000000011e-01,1.000000000000000000e+00
2.250000000000000056e-01,1.000000000000000000e+00
2.300000000000000100e-01,1.000000000000000000e+00
2.350000000000000144e-01,1.000000000000000000e+00
2.399999999999999911e-01,1.000000000000000000e+00
2.449999999999999956e-01,1.000000000000000000e+00
2.500000000000000000e-01,1.000000000000000000e+00
2.550000000000000044e-01,1.000000000000000000e+00
2.600000000000000089e-01,1.000000000000000000e+00
2.650000000000000133e-01,1.000000000000000000e+00
2.700000000000000178e-01,1.000000000000000000e+00
2.750000000000000222e-01,1.000000000000000000e+00
2.800000000000000266e-01,1.000000000000000000e+00
2.850000000000000311e-01,1.000000000000000000e+00
2.899999999999999800e-01,1.000000000000000000e+00
2.949999999999999845e-01,1.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000000e+00
3.049999999999999933e-01,1.000000000000000000e+00
3.099999999999999978e-01,1.000000000000000000e+00
3.150000000000000022e-01,1.000000000000000000e+00
3.200000000000000067e-01,1.000000000000000000e+00
3.250000000000000111e-01,1.000000000000000000e+00
3.300000000000000155e-01,1.000000000000000000e+00
3.350000000000000200e-01,1.000000000000000000e+00
3.400000000000000244e-01,1.000000000000000000e+00
3.450000000000000289e-01,1.000000000000000000e+00
3.500000000000000333e-01,1.000000000000000000e+00
3.549999999999999822e-01,1.000000000000000000e+00
3.599999999999999867e-01,9.999999999999998890e-01
3.649999999999999911e-01,9.999999999999926725e-01
3.699999999999999956e-01,9.999999999997124522e-01
3.750000000000000000e-01,9.999999999886219904e-01
3.800000000000000044e-01,9.999999995576025480e-01
3.850000000000000089e-01,9.999999822817733364e-01
3.900000000000000133e-01,9.999993269914347893e-01
3.950000000000000178e-01,9.999719210840505301e-01
