# x,phi(x) after t=1.0 with limiter=vanleer
0.000000000000000000e+00,3.574560588215767746e-33
5.000000000000000104e-03,4.627811690205470230e-33
1.000000000000000021e-02,5.941939823718444985e-33
1.499999999999999944e-02,7.567072564266509683e-33
2.000000000000000042e-02,9.559252911120112085e-33
2.500000000000000139e-02,1.198032311765787924e-32
2.999999999999999889e-02,1.489770416663210772e-32
3.500000000000000333e-02,1.838426505470933321e-32
4.000000000000000083e-02,2.251874916866547183e-32
4.499999999999999833e-02,2.738761095242621313e-32
5.000000000000000278e-02,3.308945930974521471e-32
5.500000000000000028e-02,3.974329040063637864e-32
5.999999999999999778e-02,4.750121098133568951e-32
6.500000000000000222e-02,5.656477396809716966e-32
7.000000000000000666e-02,6.720344907013998684e-32
7.499999999999999722e-02,7.975604529251219434e-32
8.000000000000000167e-02,9.462210861376371906e-32
8.500000000000000611e-02,1.119762448332304220e-31
8.999999999999999667e-02,1.320575872958740333e-31
9.500000000000000111e-02,1.513812193269405861e-31
1.000000000000000056e-01,2.259995360452628915e-31
1.049999999999999961e-01,2.591820817533076441e-30
1.100000000000000006e-01,7.302375310409637849e-29
1.150000000000000050e-01,2.225976419609864797e-27
1.199999999999999956e-01,6.983848845018451503e-26
1.250000000000000000e-01,2.237015198334700542e-24
1.300000000000000044e-01,7.260771055662813454e-23
1.350000000000000089e-01,2.374309906492127009e-21
1.400000000000000133e-01,7.793816382469152714e-20
1.449999999999999900e-01,2.562970197539833869e-18
1.499999999999999944e-01,8.434867484087842003e-17
1.549999999999999989e-01,2.776849505915483572e-15
1.600000000000000033e-01,9.142811095759515513e-14
1.650000000000000078e-01,3.010414528448734563e-12
1.700000000000000122e-01,9.912410358380408122e-11
1.750000000000000167e-01,3.263876220028387410e-09
1.799999999999999933e-01,1.074685564713510696e-07
1.849999999999999978e-01,3.537883557099375605e-06
1.900000000000000022e-01,1.161975446886963673e-04
1.950000000000000067e-01,3.714974897637627650e-03
2.000000000000000111e-01,9.069291935559087303e-02
2.050000000000000155e-01,6.361996814597610239e-01
2.099999999999999922e-01,9.887256241277148083e-01
2.149999999999999967e-01,9.999982097719027907e-01
2.200000000000000011e-01,9.999999999999890088e-01
2.250000000000000056e-01,1.000000000000000000e+00
2.300000000000000100e-01,1.000000000000000000e+00
2.350000000000000144e-01,1.000000000000000000e+00
2.399999999999999911e-01,1.000000000000000000e+00
2.449999999999999956e-01,1.000000000000000000e+00
2.500000000000000000e-01,1.000000000000000000e+00
2.550000000000000044e-01,1.000000000000000000e+00
2.600000000000000089e-01,1.000000000000000000e+00
2.650000000000000133e-01,1.000000000000000000e+00
2.700000000000000178e-01,1.000000000000000000e+00
2.750000000000000222e-01,1.000000000000000000e+00
2.800000000000000266e-01,1.000000000000000000e+00
2.850000000000000311e-01,1.000000000000000000e+00
2.899999999999999800e-01,1.000000000000000000e+00
2.949999999999999845e-01,1.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000000e+00
3.049999999999999933e-01,1.000000000000000000e+00
3.099999999999999978e-01,1.000000000000000000e+00
3.150000000000000022e-01,1.000000000000000000e+00
3.200000000000000067e-01,1.000000000000000000e+00
3.250000000000000111e-01,1.000000000000000000e+00
3.300000000000000155e-01,1.000000000000000000e+00
3.350000000000000200e-01,1.000000000000000000e+00
3.400000000000000244e-01,1.000000000000000000e+00
3.450000000000000289e-01,1.000000000000000000e+00
3.500000000000000333e-01,1.000000000000000000e+00
3.549999999999999822e-01,1.000000000000000000e+00
3.599999999999999867e-01,9.999999999999973355e-01
3.649999999999999911e-01,9.999999999999087397e-01
3.699999999999999956e-01,9.999999999969898523e-01
3.750000000000000000e-01,9.999999999008762908e-01
3.800000000000000044e-01,9.999999967361266062e-01
3.850000000000000089e-01,9.999998925314645959e-01
3.900000000000000133e-01,9.999964621166382850e-01
3.950000000000000178e-01,9.998838024578321493e-01
4.000000000000000222e-01,9.962850251540252833e-01
4.050000000000000266e-01,9.093070815572655841e-01
4.100000000000000311e-01,3.638003208993093041e-01
4.150000000000000355e-01,1.127437608836324469e-02
4.199999999999999845e-01,1.790228174939257634e-06
4.249999999999999889e-01,1.097280692351022975e-14
4.299999999999999933e-01,1.590300870875184702e-30
4.349999999999999978e-01,6.539050802412204022e-31
4.400000000000000022e-01,5.635841114031865274e-31
4.450000000000000067e-01,4.654588722835673080e-31
4.500000000000000111e-01,3.809871509618947022e-31
4.550000000000000155e-01,3.088003862860921277e-31
4.600000000000000200e-01,2.475675233134412371e-31
4.650000000000000244e-01,1.963863095531594845e-31
4.700000000000000289e-01,1.541543160429855331e-31
4.750000000000000333e-01,1.197657346610200649e-31
4.799999999999999822e-01,9.213156142286475281e-32
4.849999999999999867e-01,7.021372443531453786e-32
4.899999999999999911e-01,5.305133814594490898e-32
4.949999999999999956e-01,3.977851463772588126e-32
5.000000000000000000e-01,2.963448426975089777e-32
5.050000000000000044e-01,2.196669423557529739e-32
5.100000000000000089e-01,1.622810463492919975e-32
5.150000000000000133e-01,1.197009530708894070e-32
5.200000000000000178e-01,8.832430868237780052e-33
5.250000000000000222e-01,6.531622334807280896e-33
5.300000000000000266e-01,4.848815965607898014e-33
5.350000000000000311e-01,3.618080497624945599e-33
5.400000000000000355e-01,2.715693865640253795e-33
5.450000000000000400e-01,2.050781424376244090e-33
5.500000000000000444e-01,1.557449928362403383e-33
5.550000000000000488e-01,1.188404490099754494e-33
5.600000000000000533e-01,9.099299405444800588e-34
5.650000000000000577e-01,6.980577527915380313e-34
5.700000000000000622e-01,5.357158051490930022e-34
5.750000000000000666e-01,4.106605065550343889e-34
5.799999999999999600e-01,3.140095564178754467e-34
5.849999999999999645e-01,2.392208669283410574e-34
5.899999999999999689e-01,1.813929887100086041e-34
5.949999999999999734e-01,1.367908151078378599e-34
5.999999999999999778e-01,1.025251769104369987e-34
6.049999999999999822e-01,7.633525809024203069e-35
6.099999999999999867e-01,5.643852119792164695e-35
6.149999999999999911e-01,4.142449776793044570e-35
6.199999999999999956e-01,3.017707930982005985e-35
6.250000000000000000e-01,2.181559111849648542e-35
6.300000000000000044e-01,1.564863493193398261e-35
6.350000000000000089e-01,1.113702344754079782e-35
6.400000000000000133e-01,7.863547648559306528e-36
6.450000000000000178e-01,5.508145246657438421e-36
6.500000000000000222e-01,3.827504112126388394e-36
6.550000000000000266e-01,2.638390020071189739e-36
6.600000000000000311e-01,1.804128968919676388e-36
6.650000000000000355e-01,1.223757655367297411e-36
6.700000000000000400e-01,8.234130768261476252e-37
6.750000000000000444e-01,5.495796976558858651e-37
6.800000000000000488e-01,3.638570925694254363e-37
6.850000000000000533e-01,2.389545470130260451e-37
6.900000000000000577e-01,1.556615487399100054e-37
6.950000000000000622e-01,1.005834346083249003e-37
7.000000000000000666e-01,6.446859725598070708e-38
7.049999999999999600e-01,4.098682413278069419e-38
7.099999999999999645e-01,2.584712727341194381e-38
7.149999999999999689e-01,1.616776361011927097e-38
7.199999999999999734e-01,1.003124806131027831e-38
7.249999999999999778e-01,6.173408919093146593e-39
7.299999999999999822e-01,3.768408389793559309e-39
7.349999999999999867e-01,2.281664967738556176e-39
7.399999999999999911e-01,1.370270707701598669e-39
7.449999999999999956e-01,8.162560754094810995e-40
7.500000000000000000e-01,4.823216053280456665e-40
7.550000000000000044e-01,2.827702020866698950e-40
7.600000000000000089e-01,1.646162703889624855e-40
7.650000000000000133e-01,9.544151048660803326e-41
7.700000000000000178e-01,5.568714046291576028e-41
7.750000000000000222e-01,3.385327156702478251e-41
7.800000000000000266e-01,2.362118907409280225e-41
7.850000000000000311e-01,2.230278863570957953e-41
7.900000000000000355e-01,3.031700789171560372e-41
7.950000000000000400e-01,5.165141912252463785e-41
8.000000000000000444e-01,9.554427188373328284e-41
8.050000000000000488e-01,1.799845292747795461e-40
8.100000000000000533e-01,3.381639455565802868e-40
8.150000000000000577e-01,6.298545897003609246e-40
8.200000000000000622e-01,1.161018326711996119e-39
