# x,v(x) at y=0.5
0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,2.181836204642569055e-02
3.125000000000000000e-02,4.142020412401670182e-02
4.687500000000000000e-02,5.894595098180013815e-02
6.250000000000000000e-02,7.448699568643206426e-02
7.812500000000000000e-02,8.814804259812832055e-02
9.375000000000000000e-02,1.000430003332308110e-01
1.093750000000000000e-01,1.102896339499543354e-01
1.250000000000000000e-01,1.190064791541447092e-01
1.406250000000000000e-01,1.263099536862525574e-01
1.562500000000000000e-01,1.323117633068787158e-01
1.718750000000000000e-01,1.371168259210661655e-01
1.875000000000000000e-01,1.408216730009560491e-01
2.031250000000000000e-01,1.435132776192692416e-01
2.187500000000000000e-01,1.452664098434515438e-01
2.343750000000000000e-01,1.461190981614396978e-01
2.500000000000000000e-01,1.461899512496904474e-01
2.656250000000000000e-01,1.454553799422358962e-01
2.812500000000000000e-01,1.439894779399208125e-01
2.968750000000000000e-01,1.418184713330735147e-01
3.125000000000000000e-01,1.389606206015646106e-01
3.281250000000000000e-01,1.354271715786004304e-01
3.437500000000000000e-01,1.312233570483411771e-01
3.593750000000000000e-01,1.263493880740228226e-01
3.750000000000000000e-01,1.208014535105320364e-01
3.906250000000000000e-01,1.145727152265315213e-01
4.062500000000000000e-01,1.076542734015326075e-01
4.218750000000000000e-01,1.000360727861671489e-01
4.375000000000000000e-01,9.170803217942408159e-02
4.531250000000000000e-01,8.266110676286689274e-02
4.687500000000000000e-01,7.288820987168008469e-02
4.843750000000000000e-01,6.238493048880775632e-02
5.000000000000000000e-01,5.115182296601912537e-02
5.156250000000000000e-01,3.919528647750441380e-02
5.312500000000000000e-01,2.652905187174020227e-02
5.468750000000000000e-01,1.317590865591391179e-02
5.625000000000000000e-01,-8.306422363758096932e-04
5.781250000000000000e-01,-1.544514523747669670e-02
5.937500000000000000e-01,-3.060661181696997662e-02
6.093750000000000000e-01,-4.623365478973944648e-02
6.250000000000000000e-01,-6.221523001968484040e-02
6.406250000000000000e-01,-7.842551693924429412e-02
6.562500000000000000e-01,-9.471538578136480535e-02
6.718750000000000000e-01,-1.109227211863448026e-01
6.875000000000000000e-01,-1.268161161700641637e-01
7.031250000000000000e-01,-1.421836287194118975e-01
7.187500000000000000e-01,-1.567540125369061843e-01
7.343750000000000000e-01,-1.702248426725766206e-01
7.500000000000000000e-01,-1.822733286388641682e-01
7.656250000000000000e-01,-1.925625737529422787e-01
7.812500000000000000e-01,-2.007421578507793680e-01
7.968750000000000000e-01,-2.064420417398751539e-01
8.125000000000000000e-01,-2.091681048346631655e-01
8.281250000000000000e-01,-2.089923151779102817e-01
8.437500000000000000e-01,-2.052988814477469115e-01
8.593750000000000000e-01,-1.981162552744083205e-01
8.750000000000000000e-01,-1.873886086619061531e-01
8.906250000000000000e-01,-1.731547397789233167e-01
9.062500000000000000e-01,-1.555644234922090863e-01
9.218750000000000000e-01,-1.348758366852119417e-01
9.375000000000000000e-01,-1.114485128220523563e-01
9.531250000000000000e-01,-8.572760286153932596e-02
9.687500000000000000e-01,-5.821302713456063399e-02
9.843750000000000000e-01,-2.944386279151251298e-02
1.000000000000000000e+00,0.000000000000000000e+00
