# t [s], T [K], YF
0.000000000000000000e+00,1.100000000000000000e+03,5.999999999999999778e-02
9.999999999999999547e-07,1.100000326908519128e+03,5.999998607162985997e-02
1.999999999999999909e-06,1.100000653819012996e+03,5.999997214317528971e-02
3.000000000000000076e-06,1.100000980731491609e+03,5.999995821463628698e-02
3.999999999999999819e-06,1.100001307645961333e+03,5.999994428601285179e-02
4.999999999999999562e-06,1.100001634562427171e+03,5.999993035730497720e-02
5.999999999999999305e-06,1.100001961480893669e+03,5.999991642851267015e-02
6.999999999999999048e-06,1.100002288401364922e+03,5.999990249963592370e-02
7.999999999999999638e-06,1.100002615323844566e+03,5.999988857067473785e-02
9.000000000000000228e-06,1.100002942248335785e+03,5.999987464162911260e-02
1.000000000000000082e-05,1.100003269174841989e+03,5.999986071249904795e-02
1.100000000000000141e-05,1.100003596103365908e+03,5.999984678328453697e-02
1.200000000000000200e-05,1.100003923033910496e+03,5.999983285398558658e-02
1.300000000000000259e-05,1.100004249966478483e+03,5.999981892460218985e-02
1.400000000000000318e-05,1.100004576901072369e+03,5.999980499513435372e-02
1.500000000000000377e-05,1.100004903837694656e+03,5.999979106558207126e-02
1.600000000000000266e-05,1.100005230776347616e+03,5.999977713594534245e-02
1.700000000000000325e-05,1.100005557717033753e+03,5.999976320622416731e-02
1.800000000000000384e-05,1.100005884659755111e+03,5.999974927641853889e-02
1.900000000000000443e-05,1.100006211604513965e+03,5.999973534652846413e-02
2.000000000000000502e-05,1.100006538551312588e+03,5.999972141655393609e-02
2.100000000000000561e-05,1.100006865500152799e+03,5.999970748649495478e-02
2.200000000000000620e-05,1.100007192451036644e+03,5.999969355635152712e-02
2.300000000000000679e-05,1.100007519403966171e+03,5.999967962612364619e-02
2.400000000000000738e-05,1.100007846358943198e+03,5.999966569581130504e-02
2.500000000000000797e-05,1.100008173315969543e+03,5.999965176541451062e-02
2.600000000000000856e-05,1.100008500275047254e+03,5.999963783493326291e-02
2.700000000000000915e-05,1.100008827236177922e+03,5.999962390436755499e-02
2.800000000000000974e-05,1.100009154199363365e+03,5.999960997371738686e-02
2.900000000000001033e-05,1.100009481164605404e+03,5.999959604298275850e-02
3.000000000000001092e-05,1.100009808131905629e+03,5.999958211216366993e-02
3.100000000000000813e-05,1.100010135101265632e+03,5.999956818126012115e-02
3.200000000000000533e-05,1.100010462072687233e+03,5.999955425027211214e-02
3.300000000000000253e-05,1.100010789046172022e+03,5.999954031919964292e-02
3.399999999999999973e-05,1.100011116021721591e+03,5.999952638804270655e-02
3.499999999999999693e-05,1.100011442999337305e+03,5.999951245680130302e-02
3.599999999999999414e-05,1.100011769979020983e+03,5.999949852547543233e-02
3.699999999999999134e-05,1.100012096960773988e+03,5.999948459406509449e-02
3.799999999999998854e-05,1.100012423944597685e+03,5.999947066257028949e-02
3.899999999999998574e-05,1.100012750930493894e+03,5.999945673099101734e-02
3.999999999999998294e-05,1.100013077918463750e+03,5.999944279932727109e-02
4.099999999999998015e-05,1.100013404908508846e+03,5.999942886757905769e-02
4.199999999999997735e-05,1.100013731900630773e+03,5.999941493574637019e-02
4.299999999999997455e-05,1.100014058894830669e+03,5.999940100382920860e-02
4.399999999999997175e-05,1.100014385891109896e+03,5.999938707182757291e-02
4.499999999999996895e-05,1.100014712889470047e+03,5.999937313974146313e-02
4.599999999999996615e-05,1.100015039889912487e+03,5.999935920757087926e-02
4.699999999999996336e-05,1.100015366892438351e+03,5.999934527531581435e-02
4.799999999999996056e-05,1.100015693897049005e+03,5.999933134297627535e-02
4.899999999999995776e-05,1.100016020903746039e+03,5.999931741055225531e-02
4.999999999999995496e-05,1.100016347912530364e+03,5.999930347804375425e-02
5.099999999999995216e-05,1.100016674923403571e+03,5.999928954545077214e-02
5.199999999999994937e-05,1.100017001936366796e+03,5.999927561277330901e-02
5.299999999999994657e-05,1.100017328951421405e+03,5.999926168001136484e-02
5.399999999999994377e-05,1.100017655968568533e+03,5.999924774716493270e-02
5.499999999999994097e-05,1.100017982987809546e+03,5.999923381423401952e-02
5.599999999999993817e-05,1.100018310009145580e+03,5.999921988121861838e-02
5.699999999999993538e-05,1.100018637032577772e+03,5.999920594811872926e-02
5.799999999999993258e-05,1.100018964058107485e+03,5.999919201493435217e-02
5.899999999999992978e-05,1.100019291085735858e+03,5.999917808166548711e-02
5.999999999999992698e-05,1.100019618115464027e+03,5.999916414831213407e-02
6.099999999999992418e-05,1.100019945147293129e+03,5.999915021487428612e-02
6.199999999999992138e-05,1.100020272181224527e+03,5.999913628135194327e-02
6.299999999999991859e-05,1.100020599217259360e+03,5.999912234774511244e-02
6.399999999999991579e-05,1.100020926255398535e+03,5.999910841405378670e-02
6.499999999999991299e-05,1.100021253295643419e+03,5.999909448027796605e-02
6.599999999999991019e-05,1.100021580337995147e+03,5.999908054641765048e-02
6.699999999999990739e-05,1.100021907382454629e+03,5.999906661247283307e-02
6.799999999999990460e-05,1.100022234429023229e+03,5.999905267844352075e-02
6.899999999999990180e-05,1.100022561477701856e+03,5.999903874432970657e-02
6.999999999999989900e-05,1.100022888528491876e+03,5.999902481013139055e-02
7.099999999999989620e-05,1.100023215581394197e+03,5.999901087584857268e-02
7.199999999999989340e-05,1.100023542636409729e+03,5.999899694148125295e-02
7.299999999999989061e-05,1.100023869693539837e+03,5.999898300702943138e-02
7.399999999999988781e-05,1.100024196752785429e+03,5.999896907249310796e-02
7.499999999999988501e-05,1.100024523814147642e+03,5.999895513787227574e-02
7.599999999999988221e-05,1.100024850877627614e+03,5.999894120316694168e-02
7.699999999999987941e-05,1.100025177943226254e+03,5.999892726837709883e-02
7.799999999999987662e-05,1.100025505010944698e+03,5.999891333350274719e-02
7.899999999999987382e-05,1.100025832080783857e+03,5.999889939854388676e-02
7.999999999999987102e-05,1.100026159152744867e+03,5.999888546350051755e-02
8.099999999999986822e-05,1.100026486226828638e+03,5.999887152837263260e-02
8.199999999999986542e-05,1.100026813303036306e+03,5.999885759316023887e-02
8.299999999999986262e-05,1.100027140381368781e+03,5.999884365786332940e-02
8.399999999999985983e-05,1.100027467461827200e+03,5.999882972248191115e-02
8.499999999999985703e-05,1.100027794544412473e+03,5.999881578701597717e-02
8.599999999999985423e-05,1.100028121629125508e+03,5.999880185146552053e-02
8.699999999999985143e-05,1.100028448715967443e+03,5.999878791583054816e-02
8.799999999999984863e-05,1.100028775804939187e+03,5.999877398011106006e-02
8.899999999999984584e-05,1.100029102896041650e+03,5.999876004430704929e-02
8.999999999999984304e-05,1.100029429989275968e+03,5.999874610841852279e-02
9.099999999999984024e-05,1.100029757084642824e+03,5.999873217244547363e-02
9.199999999999983744e-05,1.100030084182143355e+03,5.999871823638790180e-02
9.299999999999983464e-05,1.100030411281778697e+03,5.999870430024580731e-02
9.399999999999983185e-05,1.100030738383549533e+03,5.999869036401919015e-02
9.499999999999982905e-05,1.100031065487456999e+03,5.999867642770804338e-02
9.599999999999982625e-05,1.100031392593501778e+03,5.999866249131237395e-02
9.699999999999982345e-05,1.100031719701685006e+03,5.999864855483217491e-02
9.799999999999982065e-05,1.100032046812007593e+03,5.999863461826744626e-02
9.899999999999981785e-05,1.100032373924470448e+03,5.999862068161818801e-02
9.999999999999981506e-05,1.100032701039074482e+03,5.999860674488440015e-02
1.009999999999998123e-04,1.100033028155820602e+03,5.999859280806608269e-02
1.019999999999998095e-04,1.100033355274709720e+03,5.999857887116322869e-02
1.029999999999998067e-04,1.100033682395742744e+03,5.999856493417584508e-02
1.039999999999998039e-04,1.100034009518920584e+03,5.999855099710392492e-02
1.049999999999998011e-04,1.100034336644244149e+03,5.999853705994746822e-02
1.059999999999997983e-04,1.100034663771714349e+03,5.999852312270647497e-02
1.069999999999997955e-04,1.100034990901332094e+03,5.999850918538094519e-02
1.079999999999997927e-04,1.100035318033098292e+03,5.999849524797087885e-02
1.089999999999997899e-04,1.100035645167013627e+03,5.999848131047626904e-02
1.099999999999997871e-04,1.100035972303079234e+03,5.999846737289712267e-02
1.109999999999997843e-04,1.100036299441295796e+03,5.999845343523343283e-02
1.119999999999997815e-04,1.100036626581664223e+03,5.999843949748519950e-02
1.129999999999997787e-04,1.100036953724185423e+03,5.999842555965242269e-02
1.139999999999997759e-04,1.100037280868860307e+03,5.999841162173510239e-02
1.149999999999997731e-04,1.100037608015689557e+03,5.999839768373323862e-02
1.159999999999997703e-04,1.100037935164674309e+03,5.999838374564682442e-02
1.169999999999997675e-04,1.100038262315815246e+03,5.999836980747586673e-02
1.179999999999997647e-04,1.100038589469113049e+03,5.999835586922035863e-02
1.189999999999997619e-04,1.100038916624568856e+03,5.999834193088030010e-02
1.199999999999997591e-04,1.100039243782183348e+03,5.999832799245569115e-02
1.209999999999997563e-04,1.100039570941957436e+03,5.999831405394653178e-02
1.219999999999997535e-04,1.100039898103891801e+03,5.999830011535281504e-02
1.229999999999997643e-04,1.100040225267987580e+03,5.999828617667454789e-02
1.239999999999997615e-04,1.100040552434245456e+03,5.999827223791172337e-02
1.249999999999997587e-04,1.100040879602666109e+03,5.999825829906434149e-02
1.259999999999997559e-04,1.100041206773250451e+03,5.999824436013240225e-02
1.269999999999997531e-04,1.100041533945999390e+03,5.999823042111590565e-02
1.279999999999997503e-04,1.100041861120913609e+03,5.999821648201485169e-02
1.289999999999997475e-04,1.100042188297994016e+03,5.999820254282924037e-02
1.299999999999997447e-04,1.100042515477241295e+03,5.999818860355906475e-02
1.309999999999997419e-04,1.100042842658656355e+03,5.999817466420433176e-02
1.319999999999997391e-04,1.100043169842240104e+03,5.999816072476503448e-02
1.329999999999997363e-04,1.100043497027993226e+03,5.999814678524117290e-02
1.339999999999997335e-04,1.100043824215916402e+03,5.999813284563274701e-02
1.349999999999997307e-04,1.100044151406010542e+03,5.999811890593974989e-02
1.359999999999997279e-04,1.100044478598276555e+03,5.999810496616218847e-02
1.369999999999997251e-04,1.100044805792715124e+03,5.999809102630006274e-02
1.379999999999997223e-04,1.100045132989326930e+03,5.999807708635336578e-02
1.389999999999997195e-04,1.100045460188112884e+03,5.999806314632209758e-02
1.399999999999997167e-04,1.100045787389073666e+03,5.999804920620625814e-02
1.409999999999997139e-04,1.100046114592210188e+03,5.999803526600584747e-02
1.419999999999997111e-04,1.100046441797523130e+03,5.999802132572086555e-02
1.429999999999997083e-04,1.100046769005013402e+03,5.999800738535130545e-02
1.439999999999997055e-04,1.100047096214681687e+03,5.999799344489717412e-02
1.449999999999997027e-04,1.100047423426528667e+03,5.999797950435846461e-02
1.459999999999996999e-04,1.100047750640555250e+03,5.999796556373517692e-02
1.469999999999996971e-04,1.100048077856762120e+03,5.999795162302731105e-02
1.479999999999996943e-04,1.100048405075149958e+03,5.999793768223486701e-02
1.489999999999996915e-04,1.100048732295719674e+03,5.999792374135783785e-02
