# t [s], T [K], YF
0.000000000000000000e+00,1.100000000000000000e+03,5.999999999999999778e-02
9.999999999999999547e-08,1.100000032690851867e+03,5.999999860716298539e-02
1.999999999999999909e-07,1.100000065381723516e+03,5.999999721432512645e-02
2.999999999999999864e-07,1.100000098072614719e+03,5.999999582148642097e-02
3.999999999999999819e-07,1.100000130763525704e+03,5.999999442864687588e-02
4.999999999999999774e-07,1.100000163454456469e+03,5.999999303580648424e-02
5.999999999999999728e-07,1.100000196145407017e+03,5.999999164296524606e-02
6.999999999999999683e-07,1.100000228836377346e+03,5.999999025012316828e-02
7.999999999999999638e-07,1.100000261527367456e+03,5.999998885728024395e-02
8.999999999999999593e-07,1.100000294218377348e+03,5.999998746443647307e-02
9.999999999999999547e-07,1.100000326909407022e+03,5.999998607159186259e-02
1.100000000000000056e-06,1.100000359600456477e+03,5.999998467874640556e-02
1.199999999999999946e-06,1.100000392291525714e+03,5.999998328590010199e-02
1.299999999999999835e-06,1.100000424982614732e+03,5.999998189305295881e-02
1.399999999999999725e-06,1.100000457673723531e+03,5.999998050020496909e-02
1.499999999999999614e-06,1.100000490364852340e+03,5.999997910735613282e-02
1.599999999999999504e-06,1.100000523056000930e+03,5.999997771450645695e-02
1.699999999999999394e-06,1.100000555747169301e+03,5.999997632165593453e-02
1.799999999999999283e-06,1.100000588438357454e+03,5.999997492880456557e-02
1.899999999999999173e-06,1.100000621129565616e+03,5.999997353595235700e-02
1.999999999999999062e-06,1.100000653820793559e+03,5.999997214309930188e-02
2.099999999999998952e-06,1.100000686512041511e+03,5.999997075024540022e-02
2.199999999999998842e-06,1.100000719203309245e+03,5.999996935739065895e-02
2.299999999999998731e-06,1.100000751894596988e+03,5.999996796453507114e-02
2.399999999999998621e-06,1.100000784585904512e+03,5.999996657167863678e-02
2.499999999999998510e-06,1.100000817277232045e+03,5.999996517882135588e-02
2.599999999999998400e-06,1.100000849968579359e+03,5.999996378596323537e-02
2.699999999999998290e-06,1.100000882659946683e+03,5.999996239310426832e-02
2.799999999999998179e-06,1.100000915351333788e+03,5.999996100024445472e-02
2.899999999999998069e-06,1.100000948042740902e+03,5.999995960738380152e-02
2.999999999999997958e-06,1.100000980734168024e+03,5.999995821452230177e-02
3.099999999999997848e-06,1.100001013425614929e+03,5.999995682165995547e-02
3.199999999999997738e-06,1.100001046117081842e+03,5.999995542879676957e-02
3.299999999999997627e-06,1.100001078808568764e+03,5.999995403593273713e-02
3.399999999999997517e-06,1.100001111500075467e+03,5.999995264306785814e-02
3.499999999999997406e-06,1.100001144191602179e+03,5.999995125020213954e-02
3.599999999999997296e-06,1.100001176883148901e+03,5.999994985733557440e-02
3.699999999999997186e-06,1.100001209574715631e+03,5.999994846446816271e-02
3.799999999999997075e-06,1.100001242266302370e+03,5.999994707159991142e-02
3.899999999999997388e-06,1.100001274957908890e+03,5.999994567873081358e-02
3.999999999999997278e-06,1.100001307649535420e+03,5.999994428586086920e-02
4.099999999999997167e-06,1.100001340341181958e+03,5.999994289299008521e-02
4.199999999999997057e-06,1.100001373032848505e+03,5.999994150011845467e-02
